Категория;Предназначение;Наименование;;Номенклатурный номер;Диаметр;Длинна;Вид покрытия;Класс прочности;Резьба;мкм;Шаг резьбы;Фасовка;Еденица измерения;Цена;Вес за еденицу;;
;;;3;4371011151;1,6;30;Без покрытия;;;;;;;2,62;0,514;;
;;;3;4371011152;1,6;30;Цинк (белый);;;6;;;;3,04;0,514;;
;;;3;4371011153;1,6;35;Без покрытия;;;;;;;2,62;0,593;;
;;;3;4371011154;1,6;35;Цинк (белый);;;6;;;;3,04;0,593;;
;;;3;4371011155;1,6;40;Без покрытия;;;;;;;2,62;0,672;;
;;;3;4371012935;1,8;25;Без покрытия;;;;;;;2,62;0,595;;
;;;3;4371011157;1,8;30;Без покрытия;;;;;;;2,62;0,645;;
;;;3;4371013027;1,8;32;Без покрытия;;;;;;;2,77;0,685;;
;;;3;4371012693;1,8;32;Без покрытия;;;;;;;2,62;0,685;;
;;;3;4371012694;1,8;32;Цинк (белый);;;6;;;;3,04;0,685;;
;;;3;4371013028;1,8;32;Цинк (белый);;;6;;;;3,19;0,685;;
;;;3;4371011159;1,8;35;Без покрытия;;;;;;;2,62;0,745;;
;;;3;4371011160;1,8;35;Цинк (белый);;;6;;;;3,04;0,745;;
;;;3;4371012724;1,8;35;Горячий цинк;;;70;;;;4,80;0,695;;
;;;3;4371011161;1,8;40;Без покрытия;;;;;;;2,62;0,846;;
;;;3;4371013151;1,8;40;Без покрытия;;;;;;;2,77;0,846;;
;;;3;4371011162;1,8;40;Цинк (белый);;;6;;;;3,04;0,846;;
;;;3;4371011163;1,8;50;Без покрытия;;;;;;;2,62;1,046;;
;;;3;4371013153;1,8;50;Без покрытия;;;;;;;2,77;1,046;;
;;;3;4371011164;1,8;50;Цинк (белый);;;6;;;;3,04;1,046;;
;;;3;4371013156;1,8;60;Цинк (белый);;;6;;;;3,19;1,246;;
;;;3;4371012924;1,8;60;Цинк (белый);;;6;;;;3,04;1,246;;
;;;3;4371014062;1,8;20;Цинк (белый);;;6;;;;4,83;0,45;;
;;;3;4371011165;2;20;Без покрытия;;;;;;;2,60;0,544;;
;;;3;4371011166;2;20;Цинк (белый);;;6;;;;3,02;0,544;;
;;;3;4371011167;2;25;Без покрытия;;;;;;;2,60;0,667;;
;;;3;4371011168;2;25;Цинк (белый);;;6;;;;3,02;0,667;;
;;;3;4371011169;2;27;Без покрытия;;;;;;;2,60;0,717;;
;;;3;4371011171;2;30;Без покрытия;;;;;;;2,60;0,791;;
;;;3;4371012655;2;30;Горячий цинк;;;70;;;;4,72;0,771;;
;;;3;4371011173;2;35;Без покрытия;;;;;;;2,60;0,915;;
;;;3;4371012674;2;35;Горячий цинк;;;70;;;;4,70;0,858;;
;;;3;4371013029;2;40;Без покрытия;;;;;;;2,75;1,038;;
;;;3;4371012846;2;40;Горячий цинк;;;70;;;;4,66;0,98;;
;;;3;4371011175;2;40;Без покрытия;;;;;;;2,60;1,038;;
;;;3;4371011176;2;40;Цинк (белый);;;6;;;;3,02;1,038;;
;;;3;4371011177;2;45;Без покрытия;;;;;;;2,60;1,162;;
;;;3;4371011179;2;50;Без покрытия;;;;;;;2,60;1,285;;
;;;3;4371013031;2;50;Без покрытия;;;;;;;2,61;1,986;;
;;;3;4371013209;2;50;Горячий цинк;;;70;;;;4,72;1,29;;
;;;3;4371011180;2;50;Цинк (белый);;;6;;;;3,02;1,285;;
;;;3;4371011181;2;55;Без покрытия;;;;;;;2,60;1,409;;
;;;3;4371011185;2,2;35;Без покрытия;;;;;;;2,60;1,1;;
;;;3;4371011187;2,2;40;Без покрытия;;;;;;;2,60;1,249;;
;;;3;4371012518;2,2;40;Горячий цинк;;;70;;;;4,56;1,249;;
;;;3;4371011188;2,2;40;Цинк (белый);;;6;;;;3,02;1,249;;
;;;3;4371011189;2,2;45;Без покрытия;;;;;;;2,60;1,399;;
;;;3;4371012847;2,2;45;Горячий цинк;;;70;;;;4,54;1,335;;
;;;3;4371011190;2,2;45;Цинк (белый);;;6;;;;3,02;1,399;;
;;;3;4371011191;2,2;50;Без покрытия;;;;;;;2,60;1,548;;
;;;3;4371012574;2,2;50;Горячий цинк;;;70;;;;4,54;1,548;;
;;;3;4371011192;2,2;50;Цинк (белый);;;6;;;;3,02;1,548;;
;;;3;4371012896;2,2;50;Горячий цинк;;;70;;;;4,52;1,631;;
;;;3;4371011193;2,2;55;Без покрытия;;;;;;;2,60;1,698;;
;;;3;4371011194;2,2;55;Цинк (белый);;;6;;;;3,02;1,698;;
;;;3;4371013012;2,2;60;Без покрытия;;;;;;;2,60;1,848;;
;;;3;4371013014;2,2;60;Горячий цинк;;;70;;;;4,53;1,848;;
;;;3;4371011195;2,4;40;Без покрытия;;;;;;;2,60;1,478;;
;;;3;4371011197;2,4;45;Без покрытия;;;;;;;2,60;1,656;;
;;;3;4371011199;2,4;50;Без покрытия;;;;;;;2,60;1,834;;
;;;3;4371012519;2,4;50;Горячий цинк;;;70;;;;4,43;1,834;;
;;;3;4371011201;2,4;55;Без покрытия;;;;;;;2,60;2,012;;
;;;3;4371011213;2,5;45;Без покрытия;;;;;;;2,46;1,793;;
;;;3;4371011214;2,5;45;Цинк (белый);;;6;;;;2,88;1,793;;
;;;3;4371011215;2,5;50;Без покрытия;;;;;;;2,46;1,986;;
;;;3;4371011216;2,5;50;Цинк (белый);;;6;;;;2,88;1,986;;
;;;3;4371013032;2,5;50;Цинк (белый);;;6;;;;3,03;1,986;;
;;;3;4371011217;2,5;55;Без покрытия;;;;;;;2,46;2,179;;
;;;3;4371011218;2,5;55;Цинк (белый);;;6;;;;2,88;2,179;;
;;;3;4371012571;2,5;55;Горячий цинк;;;70;;;;4,29;2,179;;
;;;3;4371011219;2,5;60;Без покрытия;;;;;;;2,46;2,372;;
;;;3;4371013033;2,5;60;Без покрытия;;;;;;;2,61;2,372;;
;;;3;4371012549;2,5;60;Горячий цинк;;;70;;;;4,27;2,372;;
;;;3;4371011220;2,5;60;Цинк (белый);;;6;;;;2,88;2,372;;
;;;3;4371013425;2,5;80;Без покрытия;;;;;;;2,46;3,144;;
;;;3;4371012925;2,7;27;Без покрытия;;;;;;;2,46;1,387;;
;;;3;4371013420;2,7;27;Горячий цинк;;;70;;;;4,28;1,387;;
;;;3;4371013468;2,7;30;Горячий цинк;;;70;;;;4,26;1,52;;
;;;3;4371011227;2,7;40;Без покрытия;;;;;;;2,46;1,972;;
;;;3;4371011229;2,7;45;Без покрытия;;;;;;;2,46;2,197;;
;;;3;4371012635;2,7;45;Горячий цинк;;;70;;;;4,21;2,01;;
;;;3;4371011231;2,7;50;Без покрытия;;;;;;;2,46;2,423;;
;;;3;4371012541;2,7;50;Горячий цинк;;;70;;;;4,20;2,423;;
;;;3;4371011233;2,7;55;Без покрытия;;;;;;;2,46;2,648;;
;;;3;4371011234;2,7;55;Цинк (белый);;;6;;;;2,88;2,648;;
;;;3;4371012619;2,7;55;Горячий цинк;;;70;;;;4,20;2,457;;
;;;3;4371011235;2,7;60;Без покрытия;;;;;;;2,46;2,873;;
;;;3;4371012559;2,7;60;Горячий цинк;;;70;;;;4,21;2,873;;
;;;3;4371012918;2,7;60;Цинк (белый);;;16;;;;2,92;2,873;;
;;;3;4371011237;2,7;65;Без покрытия;;;;;;;2,46;3,099;;
;;;3;4371011239;2,8;27;Без покрытия;;;;;;;2,46;1,485;;
;;;3;4371011241;2,8;40;Без покрытия;;;;;;;2,46;2,115;;
;;;3;4371011245;2,8;50;Без покрытия;;;;;;;2,46;2,6;;
;;;3;4371011247;2,8;55;Без покрытия;;;;;;;2,46;2,842;;
;;;3;4371013711;2,8;55;Горячий цинк;;;70;;;;4,15;2,84;;
;;;3;4371011249;2,8;60;Без покрытия;;;;;;;2,46;3,084;;
;;;3;4371012748;2,8;60;Горячий цинк;;;70;;;;4,16;3,084;;
;;;3;4371011250;2,8;60;Цинк (белый);;;6;;;;2,88;3,084;;
;;;3;4371011251;2,8;63;Без покрытия;;;;;;;2,46;3,23;;
;;;3;4371011252;2,8;63;Цинк (белый);;;6;;;;2,88;3,23;;
;;;3;4371011253;2,8;65;Без покрытия;;;;;;;2,46;3,327;;
;;;3;4371011254;2,8;65;Цинк (белый);;;6;;;;2,88;3,327;;
;;;3;4371012572;2,8;65;Горячий цинк;;;70;;;;4,16;3,327;;
;;;3;4371011255;2,8;70;Без покрытия;;;;;;;2,46;3,569;;
;;;3;4371011256;2,8;70;Цинк (белый);;;6;;;;2,88;3,569;;
;;;3;4371012566;2,8;70;Горячий цинк;;;70;;;;4,15;3,569;;
;;;3;4371011257;3;40;Без покрытия;;;;;;;2,44;2,511;;
;;;3;4371012816;3;40;Горячий цинк;;;70;;;;4,12;2,51;;
;;;3;4371011261;3;50;Без покрытия;;;;;;;2,44;3,068;;
;;;3;4371011262;3;50;Цинк (белый);;;6;;;;2,86;3,068;;
;;;3;4371011263;3;55;Без покрытия;;;;;;;2,44;3,346;;
;;;3;4371012522;3;55;Горячий цинк;;;70;;;;4,10;3,35;;
;;;3;4371011265;3;60;Без покрытия;;;;;;;2,44;3,624;;
;;;3;4371011267;3;65;Без покрытия;;;;;;;2,44;3,902;;
;;;3;4371011269;3;70;Без покрытия;;;;;;;2,44;4,18;;
;;;3;4371013986;3;70;Без покрытия;;;;;;;2,59;4,18;;
;;;3;4371011270;3;70;Цинк (белый);;;6;;;;2,86;4,18;;
;;;3;4371012524;3;70;Горячий цинк;;;70;;;;4,10;4,18;;
;;;3;4371011271;3;80;Без покрытия;;;;;;;2,44;4,737;;
;;;3;4371013037;3;80;Без покрытия;;;;;;;2,59;4,737;;
;;;3;4371013038;3;80;Цинк (белый);;;6;;;;3,01;4,737;;
;;;3;4371011272;3;80;Цинк (белый);;;6;;;;2,86;4,737;;
;;;3;4371011275;3;100;Без покрытия;;;;;;;2,44;5,849;;
;;;3;4371011281;3,1;55;Без покрытия;;;;;;;2,44;3,566;;
;;;3;4371011283;3,1;60;Без покрытия;;;;;;;2,44;3,863;;
;;;3;4371011285;3,1;65;Без покрытия;;;;;;;2,44;4,16;;
;;;3;4371012550;3,1;65;Горячий цинк;;;70;;;;4,10;4,16;;
;;;3;4371011286;3,1;65;Цинк (белый);;;6;;;;2,86;4,16;;
;;;3;4371011287;3,1;70;Без покрытия;;;;;;;2,44;4,457;;
;;;3;4371011288;3,1;70;Цинк (белый);;;6;;;;2,86;4,457;;
;;;3;4371012551;3,1;70;Горячий цинк;;;70;;;;4,10;4,457;;
;;;3;4371011289;3,1;80;Без покрытия;;;;;;;2,44;5,051;;
;;;3;4371011290;3,1;80;Цинк (белый);;;6;;;;2,86;5,051;;
;;;3;4371012552;3,1;80;Горячий цинк;;;70;;;;4,09;5,051;;
;;;3;4371013289;3,1;90;Без покрытия;;;;;;;2,44;5,64;;
;;;3;4371011291;3,2;80;Без покрытия;;;;;;;2,44;5,374;;
;;;3;4371011305;3,4;80;Без покрытия;;;;;;;2,44;6,051;;
;;;3;4371011307;3,4;90;Без покрытия;;;;;;;2,44;6,765;;
;;;3;4371012567;3,4;90;Горячий цинк;;;70;;;;3,97;6,765;;
;;;3;4371011308;3,4;90;Цинк (белый);;;6;;;;2,86;6,765;;
;;;3;4371011313;3,5;50;Без покрытия;;;;;;;2,44;4,131;;
;;;3;4371013485;3,5;50;Горячий цинк;;;70;;;;3,97;4,131;;
;;;3;4371013486;3,5;55;Горячий цинк;;;70;;;;3,96;4,51;;
;;;3;4371011317;3,5;60;Без покрытия;;;;;;;2,44;4,889;;
;;;3;4371011319;3,5;65;Без покрытия;;;;;;;2,44;5,267;;
;;;3;4371012525;3,5;65;Горячий цинк;;;70;;;;3,96;5,267;;
;;;3;4371011321;3,5;70;Без покрытия;;;;;;;2,44;5,646;;
;;;3;4371012701;3,5;70;Горячий цинк;;;70;;;;3,96;5,254;;
;;;3;4371011325;3,5;80;Без покрытия;;;;;;;2,44;6,403;;
;;;3;4371011326;3,5;80;Цинк (белый);;;6;;;;2,86;6,403;;
;;;3;4371012617;3,5;80;Горячий цинк;;;70;;;;3,94;6,005;;
;;;3;4371011329;3,5;90;Без покрытия;;;;;;;2,44;7,16;;
;;;3;4371013039;3,5;90;Без покрытия;;;;;;;2,59;7,16;;
;;;3;4371013040;3,5;90;Цинк (белый);;;6;;;;3,01;7,16;;
;;;3;4371012752;3,5;90;Горячий цинк;;;70;;;;3,94;6,755;;
;;;3;4371011330;3,5;90;Цинк (белый);;;6;;;;2,86;7,16;;
;;;3;4371011331;3,6;90;Без покрытия;;;;;;;2,44;7,566;;
;;;3;4371011332;3,6;90;Цинк (белый);;;6;;;;2,86;7,566;;
;;;3;4371011333;3,8;50;Без покрытия;;;;;;;2,44;4,839;;
;;;3;4371011345;3,8;90;Без покрытия;;;;;;;2,44;8,409;;
;;;3;4371011347;3,8;100;Без покрытия;;;;;;;2,44;9,301;;
;;;3;4371012578;3,8;100;Горячий цинк;;;80;;;;3,88;9,301;;
;;;3;4371011348;3,8;100;Цинк (белый);;;6;;;;2,86;9,301;;
;;;3;4371011349;3,8;130;Без покрытия;;;;;;;2,44;11,979;;
;;;3;4371011355;4;40;Без покрытия;;;;;;;2,43;4,349;;
;;;3;4371011361;4;70;Без покрытия;;;;;;;2,43;7,316;;
;;;3;4371012818;4;80;Горячий цинк;;;70;;;;3,83;7,843;;
;;;3;4371011365;4;90;Без покрытия;;;;;;;2,43;9,294;;
;;;3;4371012543;4;90;Горячий цинк;;;70;;;;3,83;9,294;;
;;;3;4371011367;4;100;Без покрытия;;;;;;;2,43;10,283;;
;;;3;4371013041;4;100;Без покрытия;;;;;;;2,58;10,283;;
;;;3;4371011368;4;100;Цинк (белый);;;6;;;;2,85;10,283;;
;;;3;4371011369;4;110;Без покрытия;;;;;;;2,43;11,272;;
;;;3;4371011371;4;120;Без покрытия;;;;;;;2,43;12,26;;
;;;3;4371011372;4;120;Цинк (белый);;;6;;;;2,85;12,261;;
;;;3;4371013043;4;120;Без покрытия;;;;;;;2,58;12,26;;
;;;3;4371011381;4,2;100;Без покрытия;;;;;;;2,43;11,312;;
;;;3;4371011382;4,2;100;Цинк (белый);;;6;;;;2,85;11,312;;
;;;3;4371012590;4,2;100;Горячий цинк;;;70;;;;3,79;11,312;;
;;;3;4371011383;4,2;110;Без покрытия;;;;;;;2,43;12,402;;
;;;3;4371011385;4,2;120;Без покрытия;;;;;;;2,43;13,492;;
;;;3;4371012553;4,2;120;Горячий цинк;;;80;;;;3,79;13,492;;
;;;3;4371011386;4,2;120;Цинк (белый);;;6;;;;2,85;13,492;;
;;;3;4371011387;4,2;125;Без покрытия;;;;;;;2,43;14,038;;
;;;3;4371011390;4,4;100;Без покрытия;;;;;;;2,43;12,387;;
;;;3;4371011394;4,5;90;Без покрытия;;;;;;;2,43;11,69;;
;;;3;4371011396;4,5;100;Без покрытия;;;;;;;2,43;12,942;;
;;;3;4371012626;4,5;100;Горячий цинк;;;70;;;;3,74;12,407;;
;;;3;4371011398;4,5;110;Без покрытия;;;;;;;2,43;14,193;;
;;;3;4371011400;4,5;120;Без покрытия;;;;;;;2,43;15,445;;
;;;3;4371013176;4,5;120;Горячий цинк;;;70;;;;3,74;15,445;;
;;;3;4371011402;4,5;125;Без покрытия;;;;;;;2,43;16,071;;
;;;3;4371011403;4,5;125;Цинк (белый);;;6;;;;2,85;16,071;;
;;;3;4371011404;4,5;130;Без покрытия;;;;;;;2,43;16,697;;
;;;3;4371011406;4,5;140;Без покрытия;;;;;;;2,43;17,948;;
;;;3;4371011414;4,6;120;Без покрытия;;;;;;;2,43;16,124;;
;;;3;4371011416;4,6;125;Без покрытия;;;;;;;2,43;16,778;;
;;;3;4371011418;4,6;130;Без покрытия;;;;;;;2,43;17,432;;
;;;3;4371012554;4,6;130;Горячий цинк;;;70;;;;3,72;17,432;;
;;;3;4371011419;4,6;140;Без покрытия;;;;;;;2,43;18,74;;
;;;3;4371014097;4,7;150;Без покрытия;;;;;;;2,43;20,43;;
;;;3;4371011422;5;100;Без покрытия;;;;;;;2,43;15,887;;
;;;3;4371011424;5;110;Без покрытия;;;;;;;2,43;17,433;;
;;;3;4371012627;5;110;Горячий цинк;;;70;;;;3,66;16,85;;
;;;3;4371011426;5;120;Без покрытия;;;;;;;2,43;18,978;;
;;;3;4371011428;5;125;Без покрытия;;;;;;;2,43;19,75;;
;;;3;4371012564;5;125;Горячий цинк;;;70;;;;3,66;19,75;;
;;;3;4371011430;5;130;Без покрытия;;;;;;;2,43;20,523;;
;;;3;4371011431;5;140;Без покрытия;;;;;;;2,43;22,068;;
;;;3;4371012786;5;140;Горячий цинк;;;70;;;;3,65;21,444;;
;;;3;4371011433;5;150;Без покрытия;;;;;;;2,43;23,614;;
;;;3;4371011434;5;180;Без покрытия;;;;;;;2,43;28,249;;
;;;3;4371011435;5,5;60;Без покрытия;;;;;;;2,43;12,444;;
;;;3;4371013437;5,5;70;Горячий цинк;;;70;;;;3,62;13,05;;
;;;3;4371013553;5,5;85;Горячий цинк;;;70;;;;3,61;17,12;;
;;;3;4371011437;5,5;100;Без покрытия;;;;;;;2,43;19,923;;
;;;3;4371013552;5,5;100;Горячий цинк;;;70;;;;3,61;19,923;;
;;;3;4371011439;5,5;110;Без покрытия;;;;;;;2,43;21,792;;
;;;3;4371013578;5,5;110;Горячий цинк;;;70;;;;3,61;21,792;;
;;;3;4371011441;5,5;120;Без покрытия;;;;;;;2,43;23,662;;
;;;3;4371012817;5,5;120;Горячий цинк;;;70;;;;3,60;22,241;;
;;;3;4371011443;5,5;125;Без покрытия;;;;;;;2,43;24,597;;
;;;3;4371012630;5,5;125;Горячий цинк;;;70;;;;3,60;23,168;;
;;;3;4371011445;5,5;130;Без покрытия;;;;;;;2,43;25,532;;
;;;3;4371011446;5,5;140;Без покрытия;;;;;;;2,43;27,402;;
;;;3;4371012568;5,5;140;Горячий цинк;;;70;;;;3,60;27,402;;
;;;3;4371011447;5,5;145;Без покрытия;;;;;;;2,43;28,337;;
;;;3;4371011448;5,5;150;Без покрытия;;;;;;;2,43;29,272;;
;;;3;4371012944;5,5;150;Горячий цинк;;;70;;;;3,59;27,8;;
;;;3;4371011449;5,5;160;Без покрытия;;;;;;;2,43;31,141;;
;;;3;4371012555;5,5;160;Горячий цинк;;;70;;;;3,60;31,141;;
;;;3;4371011450;5,5;180;Без покрытия;;;;;;;2,43;34,881;;
;;;3;4371011452;6;80;Цинк (белый);;;6;;;;2,85;19,129;;
;;;3;4371011455;6;130;Без покрытия;;;;;;;2,43;30,255;;
;;;3;4371011456;6;140;Без покрытия;;;;;;;2,43;32,481;;
;;;3;4371012544;6;140;Горячий цинк;;;70;;;;3,56;32,481;;
;;;3;4371011457;6;150;Без покрытия;;;;;;;2,43;34,706;;
;;;3;4371013356;6;150;Цинк (белый);;;6;;;;2,85;34,706;;
;;;3;4371011458;6;160;Без покрытия;;;;;;;2,43;36,93;;
;;;3;4371013467;6;160;Горячий цинк;;;70;;;;3,55;36,93;;
;;;3;4371012895;6;175;Без покрытия;;;;;;;2,43;40,27;;
;;;3;4371011459;6;180;Без покрытия;;;;;;;2,43;41,381;;
;;;3;4371012702;6;180;Горячий цинк;;;70;;;;3,72;39,701;;
;;;3;4371011460;6;200;Без покрытия;;;;;;;2,43;45,832;;
;;;3;4371013262;6;200;Цинк (белый);;;6;;;;2,85;45,832;;
;;;3;4371011465;6,3;160;Без покрытия;;;;;;;2,73;40,631;;
;;;3;4371011466;6,3;180;Без покрытия;;;;;;;2,73;45,537;;
;;;3;4371011467;6,3;200;Без покрытия;;;;;;;2,73;50,444;;
;;;3;4371011468;6,3;220;Без покрытия;;;;;;;2,73;55,35;;
;;;3;4371011469;6,5;140;Без покрытия;;;;;;;2,73;37,967;;
;;;3;4371011470;6,5;160;Без покрытия;;;;;;;2,73;43,19;;
;;;3;4371011471;6,5;180;Без покрытия;;;;;;;2,73;48,413;;
;;;3;4371013057;6,5;180;Горячий цинк;;;70;;;;3,80;48,41;;
;;;3;4371011472;6,5;200;Без покрытия;;;;;;;2,73;53,636;;
;;;3;4371011474;6,5;215;Без покрытия;;;;;;;2,73;57,554;;
;;;3;4371013312;6,5;215;Горячий цинк;;;70;;;;3,92;57,55;;
;;;3;4371011475;6,5;220;Без покрытия;;;;;;;2,73;58,859;;
;;;3;4371011477;7;180;Без покрытия;;;;;;;2,73;56,495;;
;;;3;4371013400;7;185;Без покрытия;;;;;;;2,73;58,01;;
